"ID","Joke"
1,"What's a pirate's favorite letter? You'd think it's the 'R' but it's really the 'C.'"
2,"I used to have a fear of hurdles, but I got over it."
3,"For her birthday, my mom asked me for something groundbreaking. So I got her a shovel."
4,"My husband used to work in computers. But then he lost his drive."
5,"Did you hear about fire at the shoe factory? Many soles were lost."
6,"Are you planning to go fishing tomorrow? If so, let minnow."
7,"I'd love to win a Nobel in chemistry. So, I'm keeping my ion the prize."
8,"What did the quilt say to the bed after it fell on the floor? 'Oh, sheet!'"
9,"I got rid of my vacuum cleaner. It was just gathering dust."
10,"What kind of shoes do frogs wear? Open-toed."
11,"I decided to host a party in space. Now I just have to planet."
12,"What kind of tree fits in your hand? A palm tree."
13,"I went to buy a dead battery and the clerk said, 'No charge.'"
14,"Why can't you trust jungle animals? Because they're always lion."
15,"How do make an octopus laugh? Give it ten-tickles."
16,"Are plants good at math? Only if they have square roots."
17,"Where do you take birds out to dinner? Someplace cheep."
18,"I wanted to improve my computer's website. So, I bought it glasses."
19,"What does King Arthur use to see in the dark? Knight lights."
20,"How do you make an eggroll? Just give it a little push."
21,"A chicken and an egg go into a restaurant. The host asks, 'Which of you is first?'"
22,"What did the drummer say when he had to start the song over? 'Oh well, back to snare one.'"
23,"Did you hear about skeleton spelling bee? No body won."
24,"Why did the football player hire a lawyer? He needed to work on his defense."
25,"I try to avoid birthdays. Too many will kill you."
26,"What did the house wear to the prom? Address."
27,"Why shouldn't you trust stairs? They're always up to something."
28,"I had a taser once. It was stunning."
29,"Know any good rope jokes? I'm a frayed knot."
30,"What did one plant say to the other? 'Girl, you really got me growing.'"
31,"What's the problem with scientists? Periodically, they're wrong."
32,"Why do coffee cups avoid the city? They're afraid to get mugged."
33,"Why shouldn't you argue with a dinosaur? You'll get jurasskicked."
34,"I tried to take a photo of a wheat field. It turned out grainy."
35,"I'm afraid of speed bumps, but I'm slowly getting over it."
36,"Why should you wear glasses when doing math? They improve division."
37,"I'm happy Ford didn't invent the airplane. It wouldn't have been Wright."
38,"Who invented King Arthur's round table? Sir Cumference."
39,"Why was six nervous? Because seven eight nine."
40,"I want to be a doctor, but I don't have enough patience."
41,"What do sweet potatoes wear to bed? Yammies."
42,"Why did the belt go to jail? It held up a pair of pants."
43,"Why couldn't the bike stand up? It was two-tired."
44,"I used to hate facial hair, but then it grew on me."
45,"I don't trust trees. They're shady."
46,"A chemist walked into a couch store and ended up buying a photon."
47,"Why should you stay away from artists? They're sketchy."
48,"Where can you go to find a tiny Coke? Mini-soda."
49,"I wrote a song about burritos. It's a rap."
50,"Can February March? No, but April May."
51,"I love math. And then sum."
52,"I met a giant once. I didn't know what to say so I used big words."
53,"Why don't pirates know the alphabet? Because they keep getting lost at C."
54,"How did the barber win the race? He knew a shortcut."
55,"Why did the thief hire a maid to plan his vacation? He wanted a clean getaway."
56,"Making mirrors is a job I can really see myself doing."
57,"I wanted to buy camouflage pants, but I couldn't find any."
58,"I read a book about about helium once. I couldn't put it down."
59,"What did the bread say to the baker? 'You knead me.'"
60,"Did you hear about the unfaithful espresso? It was grounds for divorce."
61,"What do evil hens lay? Deviled eggs."
62,"What do you call pasta with no money? Penne-less."
63,"What do you call fake noodles? Impastas."
64,"Why do I love cheese? For starters, it's pretty grate."
65,"What did one potato say to the other? 'I've got my fries on you.'"
66,"Why are bananas so good? They've got appeal."
67,"When does bread go bad? When you yeast expect it."
68,"Why is bread so lazy? It's always loafin' around."
69,"I drink beer when I'm sick. It cures all my ale-ments."
70,"Are you a sweet potato? Yes, I yam."
71,"Why didn’t the tea go up the hill? It was too steep."
72,"What's the best way to make a hotdog stand? Take away its chair."
73,"Bacon and eggs go into a bar. The bartender says, 'Sorry we don't serve breakfast here.'"
74,"I went out for an expensive Italian meal. It cost a pretty penne."
75,"Did you hear about the pasta that went to a dermatologist? It had a big ziti."
76,"Why couldn't the pasta unlock the door? Gnocchi."
77,"What did one dessert say to the other? 'I’m your biggest flan.'"
78,"I was going to tell you a pizza joke, but it's too cheesy."
79,"I love you a latte."
80,"Take another little pizza my heart now, baby."
81,"You're a-maize-ing."
82,"I'd run away with you but I cantaloupe."
83,"Can I just call you 'Google'? You've got everything I'm looking for."
84,"Let's give 'em something to taco 'bout."
85,"I love you a waffle lot."
86,"You're pre-tea cute."
87,"You a-moose me."
88,"A horse walks into a bar. The bartender says, 'Why the long face?'"
89,"Two kittens had an argument. It was a cat-astrophe."
90,"How can you tell when a cat is happy? When it's feline fine."
91,"What did one sheep say to the other? 'I love ewe.'"
92,"Did you hear about the matching cows? It was an udder cowincidence."
93,"What did the duck say when waiter gave him the check? 'Put it on my bill.'"
94,"What did the horse say after tripping in a pothole? 'Help, I've fallen and I can't giddy up.'"
95,"Why did the rabbit skip school? It was having a bad hare day."
96,"What kind of animal shouldn't you give as a gift? I'm not sure, but, personally, I don't give a fox."
97,"A horse walks into a bar. The bartender says, 'Hey.' The horse says, 'You read my mind.'"
98,"Where can you find a whale that plays the flute? In an orca-stra."
99,"Did you hear about the lamb that couldn't see? Someone pulled the wool over its eyes."
100,"Did you hear about the dog that had a bad day at work? It was ruff."
101,"I once asked an alpaca for a favor. It was no probllama."
